kakikko,かきっこはオンライン書籍販売サイトです。
読了した本を非表示にする手順を教えてください。,読み終わった本などを非表示にする機能は現在対応しておりません。
読了済みの書籍を一覧から隠す方法は？,読み終わった本などを非表示にする機能は現在対応しておりません。
読み終えた本をリストから削除するにはどうすればいいですか？,読み終わった本などを非表示にする機能は現在対応しておりません。
読了した本を画面に表示させないようにするには？,読み終わった本などを非表示にする機能は現在対応しておりません。
特定のデバイスでのみアクセスできる書籍はありますか？,すべての書籍はすべてのデバイスで読むことができます。
特定のデバイス専用の書籍を教えてください。,すべての書籍はすべてのデバイスで読むことができます。
デバイス限定で読める書籍はありますか？,すべての書籍はすべてのデバイスで読むことができます。
特定のデバイスでしか利用できない書籍を探しています。,すべての書籍はすべてのデバイスで読むことができます。
電子書籍リーダーはしおり機能を搭載していますか？,現在しおり機能は対応しておりませんが開発中です！もうしばらくお待ちください。
電子書籍で読書中のページを記録できる機能はありますか？,現在しおり機能は対応しておりませんが開発中です！もうしばらくお待ちください。
電子書籍リーダーで、後で再開するためにページをマークできますか？,現在しおり機能は対応しておりませんが開発中です！もうしばらくお待ちください。
電子書籍リーダーアプリは、読書中にページをブックマークできますか？,現在しおり機能は対応しておりませんが開発中です！もうしばらくお待ちください。
本のカテゴリをカスタマイズ可能か？,出品時にカテゴリを選択できます。
本のカテゴリ設定は変更できますか？,出品時にカテゴリを選択できます。
本のカテゴリはユーザー設定に対応していますか？,出品時にカテゴリを選択できます。
本のカテゴリを自分の好みに合わせて調整することは可能ですか？,出品時にカテゴリを選択できます。
購入した書籍のリストを教えてください。,リストの共有はできません。
私が購入した書籍の一覧を見せてください。,リストの共有はできません。
購入した書籍の情報を表示できますか？,リストの共有はできません。
あなたが入手した書籍のリストを提供してください。,リストの共有はできません。
デジタル著作権管理（DRM）に関する情報を教えてください。,DRMは書籍の不正コピーを防ぐために導入されています。
DRM技術とその利用について説明してください。,DRMは書籍の不正コピーを防ぐために導入されています。
デジタル著作権管理（DRM）の仕組みと種類を教えて。,DRMは書籍の不正コピーを防ぐために導入されています。
DRMとは何か、その目的と機能について具体的に説明してください。,DRMは書籍の不正コピーを防ぐために導入されています。
シリーズ書籍をまとめて購入可能ですか？,シリーズのセット商品が提供されている場合は可能です。
シリーズ作品のまとめ買いはできますか？,シリーズのセット商品が提供されている場合は可能です。
シリーズ本を一括で購入するオプションはありますか？,シリーズのセット商品が提供されている場合は可能です。
あるシリーズの書籍をまとめて購入する方法は？,シリーズのセット商品が提供されている場合は可能です。
電子書籍購入前にサンプルを印刷可能か,サンプルの印刷はサポートしておりません。
電子書籍の購入検討のため、サンプル印刷は可能ですか？,サンプルの印刷はサポートしておりません。
電子書籍のプレビューとして、購入前にサンプルを印刷できますか？,サンプルの印刷はサポートしておりません。
電子書籍の購入判断のため、サンプル印刷の可否について教えてください。,サンプルの印刷はサポートしておりません。
リーダーはダークモードに対応していますか？,ダークモードには対応しておりません。ブラウザの拡張機能を使ってみてはいかがですか？
ダークモードでリーダー機能を利用することは可能ですか？,ダークモードには対応しておりません。ブラウザの拡張機能を使ってみてはいかがですか？
リーダーアプリでダークモードは利用できますか？,ダークモードには対応しておりません。ブラウザの拡張機能を使ってみてはいかがですか？
リーダーのダークモード対応について教えてください。,ダークモードには対応しておりません。ブラウザの拡張機能を使ってみてはいかがですか？
検索履歴を削除する方法について教えてください。,アカウント設定から削除可能です。
検索履歴を消去できますか？その手順も教えてください。,アカウント設定から削除可能です。
検索履歴の削除手順を教えてください。,アカウント設定から削除可能です。
自分の検索履歴を削除する方法はありますか？,アカウント設定から削除可能です。
特定のジャンルの新刊通知を受け取る設定はありますか？,現在はできませんが今後のアップデートで追加予定です。
新刊通知をジャンルで絞り込む機能は提供されていますか？,現在はできませんが今後のアップデートで追加予定です。
特定のジャンルの新刊情報だけを受け取るように設定できますか？,現在はできませんが今後のアップデートで追加予定です。
希望するジャンルの新刊情報のみを受け取る通知設定はありますか？,現在はできませんが今後のアップデートで追加予定です。
国によって購入できる本のリストは異なりますか？,すべての書籍はすべての国で利用可能です。
各国の書籍の購入可能性に違いはありますか？,すべての書籍はすべての国で利用可能です。
国別の書籍販売リストの違いについて教えてください。,すべての書籍はすべての国で利用可能です。
国によって書籍の入手可否が変わることはありますか？,すべての書籍はすべての国で利用可能です。
読書ペースに合わせておすすめの書籍や機能はありますか？,申し訳ありません。現在は対応しておりません。
読書速度に合わせたおすすめ書籍や機能について教えてください。,申し訳ありません。現在は対応しておりません。
自分の読書ペースに最適化された書籍推薦や機能はありますか？,申し訳ありません。現在は対応しておりません。
読書ペースに合わせたパーソナライズされたおすすめ機能は利用できますか？,申し訳ありません。現在は対応しておりません。
